PraveenPal4232,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
toplars,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
sandhya3198,"b""So glad to have found all these amazing people through the Google #exploreML  program! :) \nHere's to learning and g\xe2\x80\xa6 https://t.co/WaHTBimdeg"""
Hersh257,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
_aatikakhan_,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
thisisrahulnaya,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
phreakyphoenix,b'Huge #shoutout to the entire #ExploreML Team for initiating the program and organizing the initiatives with such\xe2\x80\xa6 https://t.co/pTrTAGTzqz'
chaitanya101010,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
cse_as,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
JaldeepAsodariy,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
MadhukeshD,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
shadabhusain786,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
GoogleDevsIN,b'University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cov\xe2\x80\xa6 https://t.co/x09s5AE0o8'
Calcaware,b'RT @khushbooverma_: So glad to successfully facilitate the Beginner track of #ExploreML program! \xe2\x9d\xa4\xef\xb8\x8f Looking forward to the next track!\n@Goo\xe2\x80\xa6'
khushbooverma_,b'So glad to successfully facilitate the Beginner track of #ExploreML program! \xe2\x9d\xa4\xef\xb8\x8f Looking forward to the next track!\xe2\x80\xa6 https://t.co/v9OLfTOntA'
EzekiasBokove,b'RT @MarvellousChir2: Its amazing how my fellow students are really interested in #ExploreML \n\n@auwalms @aniediudo @EricaKHanson https://t.c\xe2\x80\xa6'
auwalms,b'RT @MarvellousChir2: Its amazing how my fellow students are really interested in #ExploreML \n\n@auwalms @aniediudo @EricaKHanson https://t.c\xe2\x80\xa6'
MarvellousChir2,b'Its amazing how my fellow students are really interested in #ExploreML \n\n@auwalms @aniediudo @EricaKHanson https://t.co/RdWw7zGnNJ'
phreakyphoenix,b'#exploreml #googleai session at @DrMGRuniversity with Rakesh Asapanna. \xf0\x9f\x94\xa5\nIt was a pleasure meeting @pingrishabh and\xe2\x80\xa6 https://t.co/NOiVvACoSV'
phreakyphoenix,b'This was my first time conducting an #googleai #exploreml event outside my campus and it was a delightful experienc\xe2\x80\xa6 https://t.co/uXuQPs68TI'
